 	Number_of_Input	Time_Taken
Best_Case	10000	28665500
Worst_Case	10000	61397600
Avg_Case	10000	110288300
Best_Case	30000	141643400
Worst_Case	30000	521197400
Avg_Case	30000	1155385800
Best_Case	75000	905656200
Worst_Case	75000	3146553800
Avg_Case	75000	7305182800
Best_Case	100000	1600922200
Worst_Case	100000	5786637900
Avg_Case	100000	13455259700
Best_Case	137000	3506457300
Worst_Case	137000	12068770100
Avg_Case	137000	27740704900
Best_Case	175000	6038200400
Worst_Case	175000	18392053200
Avg_Case	175000	43675230500
