 	Number_of_Input	Time_Taken
Best_Case	50000	8839700
Worst_Case	50000	7958000
Avg_Case	50000	5630600
Best_Case	75000	4787200
Worst_Case	75000	5057700
Avg_Case	75000	7636900
Best_Case	100000	6909000
Worst_Case	100000	7278400
Avg_Case	100000	11346700
Best_Case	125000	9077700
Worst_Case	125000	9628000
Avg_Case	125000	15255500
Best_Case	150000	11497400
Worst_Case	150000	10809100
Avg_Case	150000	17674900
Best_Case	175000	13045100
Worst_Case	175000	13189500
Avg_Case	175000	21359600
Best_Case	200000	14242500
Worst_Case	200000	14213200
Avg_Case	200000	23785700
