 	Number_of_Input	Time_Taken
Best_Case	50000	2958500
Worst_Case	50000	1617336900
Avg_Case	50000	773831600
Best_Case	75000	98700
Worst_Case	75000	1090799600
Avg_Case	75000	538286300
Best_Case	100000	131500
Worst_Case	100000	2001324200
Avg_Case	100000	1046026100
Best_Case	125000	173300
Worst_Case	125000	3205471600
Avg_Case	125000	1608988100
Best_Case	150000	314600
Worst_Case	150000	4670403100
Avg_Case	150000	2661176400
Best_Case	175000	293600
Worst_Case	175000	7253538100
Avg_Case	175000	3842901400
