 	Number_of_Input	Time_Taken
Best_Case	50000	16855200
Worst_Case	50000	6810100
Avg_Case	50000	10094300
Best_Case	75000	10916700
Worst_Case	75000	7429900
Avg_Case	75000	8897000
Best_Case	100000	5781300
Worst_Case	100000	9670400
Avg_Case	100000	16436400
Best_Case	125000	11350400
Worst_Case	125000	14318100
Avg_Case	125000	20963700
Best_Case	150000	11665000
Worst_Case	150000	12243900
Avg_Case	150000	29937700
Best_Case	175000	9448400
Worst_Case	175000	8937000
Avg_Case	175000	24710700
Best_Case	200000	25220400
Worst_Case	200000	30910800
Avg_Case	200000	70485800
