 	Number_of_Input	Time_Taken
Best_Case	12500	76149600
Worst_Case	12500	93932300
Avg_Case	12500	175539000
Best_Case	50000	2808767100
Worst_Case	50000	6188575000
Avg_Case	50000	5805948800
Best_Case	75000	16124586400
Worst_Case	75000	13754209100
Avg_Case	75000	13877334300
Best_Case	100000	24717034100
Worst_Case	100000	28846274300
Avg_Case	100000	26480808300
Best_Case	125000	38590353500
Worst_Case	125000	38284024000
Avg_Case	125000	39298215400
Best_Case	150000	56647920100
Worst_Case	150000	60580340900
Avg_Case	150000	70479039200
